book,title
Harry Potter and the Chamber of Secrets,Mason
Harry Potter and the Chamber of Secrets,Mason's wife
Harry Potter and the Chamber of Secrets,Dobby
Harry Potter and the Chamber of Secrets,Mafalda Hopkirk
Harry Potter and the Chamber of Secrets,Errol
Harry Potter and the Chamber of Secrets,Perkins
Harry Potter and the Chamber of Secrets,Weasley family
Harry Potter and the Chamber of Secrets,Gnome
Harry Potter and the Chamber of Secrets,Weasley family
Harry Potter and the Chamber of Secrets,Chicken (animal)
Harry Potter and the Chamber of Secrets,Celestina Warbeck
Harry Potter and the Chamber of Secrets,Gilderoy Lockhart
Harry Potter and the Chamber of Secrets,Father Christmas
Harry Potter and the Chamber of Secrets,Mundungus Fletcher
Harry Potter and the Chamber of Secrets,Mortlake
Harry Potter and the Chamber of Secrets,Weasley family ghoul
Harry Potter and the Chamber of Secrets,Chudley Cannons
Harry Potter and the Chamber of Secrets,Martin Miggs
Harry Potter and the Chamber of Secrets,Borgin
Harry Potter and the Chamber of Secrets,Aged witch
Harry Potter and the Chamber of Secrets,Hermione Granger's father
Harry Potter and the Chamber of Secrets,Hermione Granger's mother
Harry Potter and the Chamber of Secrets,Dr Filibuster's Fireworks
Harry Potter and the Chamber of Secrets,Bozo
Harry Potter and the Chamber of Secrets,Manager of Flourish and Blotts
Harry Potter and the Chamber of Secrets,Hetty Bayliss
Harry Potter and the Chamber of Secrets,Angus Fleet
Harry Potter and the Chamber of Secrets,Justin Finch-Fletchley's mother
Harry Potter and the Chamber of Secrets,Colin Creevey
Harry Potter and the Chamber of Secrets,Colin Creevey's father
Harry Potter and the Chamber of Secrets,Bandon Banshee
Harry Potter and the Chamber of Secrets,Ogden
Harry Potter and the Chamber of Secrets,Pixie
Harry Potter and the Chamber of Secrets,Gladys Gudgeon
Harry Potter and the Chamber of Secrets,Veronica Smethley
Harry Potter and the Chamber of Secrets,Patrick Delaney-Podmore
Harry Potter and the Chamber of Secrets,Z. Nettles
Harry Potter and the Chamber of Secrets,Demetrius Prod
Harry Potter and the Chamber of Secrets,Fire Dwelling Salamander
Harry Potter and the Chamber of Secrets,Portly ghost
Harry Potter and the Chamber of Secrets,Myrtle Warren
Harry Potter and the Chamber of Secrets,Wailing Widow
Harry Potter and the Chamber of Secrets,Ghost
Harry Potter and the Chamber of Secrets,Skower
Harry Potter and the Chamber of Secrets,Godric Gryffindor
Harry Potter and the Chamber of Secrets,Helga Hufflepuff
Harry Potter and the Chamber of Secrets,Rowena Ravenclaw
Harry Potter and the Chamber of Secrets,Salazar Slytherin
Harry Potter and the Chamber of Secrets,Transylvania
Harry Potter and the Chamber of Secrets,Yeti
Harry Potter and the Chamber of Secrets,Vampire
Harry Potter and the Chamber of Secrets,Wagga Wagga Werewolf
